iso3n,name,birth_rate
4,Afghanistan,0.0282874689139752
8,Albania,0.0112981226145444
12,Algeria,0.0214437352909582
24,Angola,0.0377718564292208
28,Antigua and Barbuda,0.0145641634941196
31,Azerbaijan,0.0148883314414461
32,Argentina,0.0162351789966439
36,Australia,0.0123323926480029
40,Austria,0.0101672208946424
44,Bahamas,0.0135215639853694
48,Bahrain,0.0128432700222455
50,Bangladesh,0.0169720957452541
51,Armenia,0.0133638331480626
52,Barbados,0.0106319270470956
56,Belgium,0.0107607227964866
64,Bhutan,0.0161146489695034
68,Bolivia (Plurinational State of),0.0204038332627075
70,Bosnia and Herzegovina,0.00753576956283715
72,Botswana,0.0224386750158542
76,Brazil,0.0131185638968883
84,Belize,0.0196873499534039
90,Solomon Islands,0.0298689251043832
96,Brunei Darussalam,0.0137004695265139
100,Bulgaria,0.00893838321448869
104,Myanmar,0.0166793482285601
108,Burundi,0.0357556466919745
112,Belarus,0.0116980210764515
116,Cambodia,0.0208898562497327
120,Cameroon,0.0326062262332392
124,Canada,0.0101384425349906
132,Cabo Verde,0.0180408313262608
140,Central African Republic,0.0327730398834024
144,Sri Lanka,0.0147292598527649
148,Chad,0.0384872347639051
152,Chile,0.0119436161392686
156,China,0.0112410733887
158,"China, Taiwan Province of China",0.0087194820085616
170,Colombia,0.0140716974069414
174,Comoros,0.0294324518519233
175,Mayotte,0.0257097769614411
178,Congo,0.0304849310844458
180,Dem. Republic of the Congo,0.0376287276714323
188,Costa Rica,0.0130591440591493
191,Croatia,0.008486313736565
192,Cuba,0.00965251717525116
196,Cyprus,0.00981685732650902
203,Czechia,0.0101697525010424
204,Benin,0.0337222249998594
208,Denmark,0.0108872070629916
214,Dominican Republic,0.0181846911515108
218,Ecuador,0.0186593034100398
222,El Salvador,0.0173589518961834
226,Equatorial Guinea,0.0304914029828247
231,Ethiopia,0.0293371479200655
232,Eritrea,0.0275086609562778
233,Estonia,0.0104316391389002
242,Fiji,0.0198302898348488
246,Finland,0.00862454759369225
250,France,0.0110238091741707
254,French Guiana,0.0234845672950852
258,French Polynesia,0.0138083645086583
262,Djibouti,0.0195978133992118
266,Gabon,0.0285544474789222
268,Georgia,0.012663546603902
270,Gambia,0.0354600673972326
275,State of Palestine,0.0268841863550448
276,Germany,0.00953484651284798
288,Ghana,0.0273547742644432
296,Kiribati,0.0260518606177555
300,Greece,0.00720902927936903
308,Grenada,0.0155670920359286
312,Guadeloupe,0.0109088038435279
316,Guam,0.0159493070657567
320,Guatemala,0.022767573330099
324,Guinea,0.0336286512920249
328,Guyana,0.0189404081472316
332,Haiti,0.022569982245342
340,Honduras,0.0202742725911265
344,"China, Hong Kong SAR",0.0114775522555303
348,Hungary,0.00945828370306103
352,Iceland,0.0116568082417121
356,India,0.0169415871781944
360,Indonesia,0.0169513867247494
364,Iran (Islamic Republic of),0.0174632205868012
368,Iraq,0.0270984635735249
372,Ireland,0.0119001920309882
376,Israel,0.0190115873170226
380,Italy,0.00716872359853149
384,Cote d'Ivoire,0.0335399684085162
388,Jamaica,0.0153692347525992
392,Japan,0.00719197647372672
398,Kazakhstan,0.0187351930418673
400,Jordan,0.0204437439824314
404,Kenya,0.02672392355897
408,Dem. People's Rep. of Korea,0.0135570657319997
410,Republic of Korea,0.00690855117011606
414,Kuwait,0.0117005077487145
417,Kyrgyzstan,0.0223612194592173
418,Lao People's Dem. Republic,0.0216089119828669
422,Lebanon,0.0167909074707291
426,Lesotho,0.0249754937155065
428,Latvia,0.0104526036019302
430,Liberia,0.030822217549728
434,Libya,0.0171966477007067
